HGNC symbol	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
RPL21P11	90366697	90367179	14
	90383365	90387973	14
	62532583	62533059	2
SIX1	60643414	60658259	14
	149216523	149276805	5
PSAT1P2	62552463	62553434	2
	3138394	3153062	6
AFAP1L1	149271859	149343637	5
RSL24D1P2	62561058	62561423	2
	62477870	62478594	20
	62513909	62516096	20
ARHGEF7-IT1	111122652	111144264	13
	3577955	3578853	17
	115532322	115532953	11
ARHGEF7-AS1	111144305	111144733	13
	3619256	3619913	17
CIRBP	1259384	1274880	19
	62590255	62662654	2
CTBP2P1	56855244	56855488	Y
	42188266	42191523	5
ARHGEF7	111114559	111305737	13
	115538869	115539384	11
PBX2	32251742	32257192	CHR_HSCHR6_MHC_APD_CTG1
	34245953	34246537	20
ASIP	34194569	34269344	20
TSPY8	9357797	9360599	Y
	82031678	82034204	17
TRIM15	30241686	30251176	CHR_HSCHR6_MHC_MCF_CTG1
CTSC	88293592	88337761	11
MIR1-1HG-AS1	62544343	62551526	20
	93221486	93221630	11
ADAM21P1	70245491	70247801	14
	93240133	93241168	11
KRTAP5-AS1	1571353	1599184	11
	93286629	93288903	11
	42989201	42989483	14
MIR1-1HG	62550453	62570764	20
	70275296	70291859	14
IL27RA	14031762	14053218	19
DMRT2	1049858	1057552	9
KRTAP5-1	1584342	1585283	11
MB21D2	192796815	192917856	3
FAM138D	36667	38073	CHR_HSCHR12_1_CTG1
KRTAP5-2	1597177	1598294	11
MYOM2	2045046	2165552	8
	46220269	46225364	21
RPL12P46	115578049	115578243	11
	46185079	46188941	21
DUSP8	1554051	1572271	11
	158270378	158278676	4
PSORS1C3	31166192	31170357	CHR_HSCHR6_MHC_QBL_CTG1
RNF216-IT1	5662432	5680461	7
C15orf40	82988441	83011641	15
RNF216	5620047	5781739	7
	31192602	31194361	CHR_HSCHR6_MHC_QBL_CTG1
HCG27	31190191	31196403	CHR_HSCHR6_MHC_QBL_CTG1
	115582297	115600339	11
	115628065	115629743	11
ANTXRL	46286345	46330207	10
TSPY7P	9378122	9380871	Y
RPS7P8	96648489	96649069	6
	9375129	9377121	Y
	115638563	115646962	11
	23257164	23260354	18
FAM197Y7	9367803	9375681	Y
TYMSP1	96653274	96654142	6
LINC00900	115754248	115760627	11
	96672129	96672969	6
FAM76B	95768953	95790409	11
TRBV12-2	142462583	142463025	CHR_HSCHR7_2_CTG6
TMEM241	23197144	23437961	18
EEF1GP6	96750824	96751728	6
	149163955	149276776	5
PRR13P4	49469803	49470223	18
WDR18	984271	998438	19
	96785137	96795821	6
GPR63	96794125	96837477	6
TRIM15	30155693	30165183	CHR_HSCHR6_MHC_APD_CTG1
	9913117	9914846	21
	115659658	115843146	11
FBF1	75909574	75941140	17
C20orf194	3249305	3407625	20
	115731942	115734742	11
	146638844	146639261	6
KATNBL1P6	146802359	146803824	6
	90994620	91006390	10
	10028361	10029855	21
	90997480	90997713	10
	43360041	43361361	17
	9975017	10119309	21
	115659168	115661417	11
LINC00502	91033157	91062164	10
NDUFAF4	96889315	96897891	6
DDX18P6	91053051	91055047	10
KRT8P43	24598012	24599790	6
SEMA5A-AS1	9511333	9518086	5
PALM3	14053365	14059159	19
RPS10P5	839447	839977	20
	9001774	9045940	5
BVES-AS1	105136308	105169945	6
FAM110A	833715	857463	20
SIX4	60709539	60724351	14
KIAA1109	122152333	122362758	4
ECPAS	111360692	111484745	9
	90402523	90405235	14
	10122273	10129029	21
LINC00910	43369845	43389199	17
CALM1	90396502	90408268	14
EEF1DP1	14070342	14071237	19
AGXT2	34998101	35048135	5
HOMER2	82836946	82986153	15
	5817421	5818366	6
POPDC3	105157900	105180014	6
	5291030	5291388	6
SERPINE3	51335773	51364735	13
	5664985	5695272	6
	5788346	5788699	6
PRXL2C	96639577	96655317	9
FARS2	5261044	5829192	6
FAAHP1	46432129	46482493	1
ABCB10P1	23179869	23182049	15
	143484979	143507327	6
CHCHD2P8	28107431	28107877	13
	46203426	46214837	19
PAN3-AS1	28136843	28138193	13
PEX3	143450805	143490616	6
NUDT9P1	91152605	91153349	10
MRPL34	17292609	17306843	19
	89936492	89937005	15
KIR2DL3	54738530	54753070	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
	39788976	39790171	1
BVES	105096822	105137157	6
LINC01398	46446673	46451281	1
PCGF5	91163012	91284337	10
CEBPG	33373685	33382686	19
	107585901	107586903	11
FABP2	119317250	119322390	4
RPS4XP16	51454164	51461315	13
ABHD8	17292131	17310236	19
SNRPGP11	51496020	51496251	13
UBE2V1P1	3361880	3362324	20
INTS6	51354077	51454264	13
	63885810	63886411	17
	41506152	41506898	19
	10136419	10137004	21
RPGRIP1	21287939	21351301	14
	10328411	10342737	21
PLEKHA3P1	41521043	41521989	19
EIF3FP1	10330732	10331537	21
	41531206	41532174	19
	49487339	49491878	18
	17540331	17540985	16
RPL17-C18orf32	49481681	49492479	18
	69810780	69847786	4
LINC01480	41535183	41536904	19
	17825252	17826906	16
MISP3	14072536	14075062	19
TRBV6-5	142472647	142473148	CHR_HSCHR7_2_CTG6
SULT1D1P	69791872	69813888	4
RPS20P14	186900198	186900557	3
	43274824	43275697	14
	23193491	23193696	15
KLHL2P1	119334329	119378233	4
	58428255	58428815	3
IGHD2-15	105898728	105898758	CHR_HSCHR14_3_CTG1
SULT1E1	69841212	69860145	4
PDHB	58427630	58433857	3
FAM230D	18178038	18205915	22
RYKP1	4222091	4223828	17
	18170356	18170959	16
	4163910	4164713	17
	18002806	18173063	16
VN1R7P	10357400	10358620	21
RPL7P47	17932720	17933275	16
	17933189	18151595	16
VDAC1P8	143490424	143506406	6
	23225876	23226391	15
ANKFY1	4163821	4263995	17
	39795843	39795996	1
TRBV7-4	142476873	142477334	CHR_HSCHR7_2_CTG6
DDA1	17309518	17323298	19
MYNN	169772831	169789716	3
	17961597	17962370	16
KIR3DL3	54727609	54736462	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
	186922286	186922753	3
RUBCN	197668867	197749727	3
CCNB1IP1P2	45567990	45568807	20
CEP57	95789965	95832693	11
WFDC8	45551153	45579326	20
FUCA2	143494811	143511690	6
PAPSS1	107590276	107720234	4
	1598127	1598247	5
	1594626	1611467	5
SKOR1	67819704	67834555	15
	1598920	1634005	5
ANKRD26	26991914	27100498	10
	49484536	49486149	18
	83022236	83024336	15
HNRNPA1P37	5609227	5610195	6
BTBD1	83016422	83067354	15
	5451683	5458075	6
RPL17	49488453	49492523	18
	17296196	17296695	19
	848525	849065	16
ANO8	17323223	17334855	19
ZNF589	48241100	48299253	3
	119391831	119395335	4
SI	164978898	165078496	3
	25865295	25877211	15
RASSF1-AS1	50337511	50338300	3
ENY2	109334324	109345954	8
CSH1	63894909	63896661	17
CDKL4	39175646	39229588	2
	25928146	25928575	15
	26050538	26052276	15
LINC02346	25902360	26053120	15
	1614836	1616334	5
IGHD1-14	105901409	105901425	CHR_HSCHR14_3_CTG1
SLC2A4	7281667	7288257	17
	23289303	23293667	15
PLPP2	281040	291403	19
TRBV5-4	142484618	142485283	CHR_HSCHR7_2_CTG6
	67832725	67873866	15
	37609739	37613841	17
IGHD6-13	105901913	105901933	CHR_HSCHR14_3_CTG1
	67834310	67838879	15
	23309607	23314566	15
DDX52	37609739	37643446	17
GGTLC5P	18340145	18345899	22
	51961212	51974031	3
LILRP2	54707916	54713453	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
MRPS18AP1	48256350	48256938	3
FCF1P2	48290793	48291375	3
PCBP4	51957454	51974016	3
NME6	48290722	48301685	3
	75898645	75930129	17
IGHD5-12	105903420	105903442	CHR_HSCHR14_3_CTG1
PPM1N	45488777	45502510	19
TRBV6-6	142491254	142491732	CHR_HSCHR7_2_CTG6
PRR3	30549106	30555943	CHR_HSCHR6_MHC_SSTO_CTG1
ADAP2	30906344	30959322	17
	131261321	131261607	5
IGHD4-11	105904387	105904402	CHR_HSCHR14_3_CTG1
CDC42SE2	131245493	131398447	5
	169777192	169780334	3
TRBV7-5	142495814	142496285	CHR_HSCHR7_2_CTG6
IGHD3-10	105905268	105905298	CHR_HSCHR14_3_CTG1
HNRNPUP1	43300263	43300595	14
RPL7P3	62572671	62573384	20
CCNA1	36431520	36442870	13
	63900643	63900879	17
	72954797	72957106	7
	54703952	54704235	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
	3465177	3465444	20
	62575590	62577507	20
	9402751	9404802	X
ATP5MC1P3	138889255	138889957	3
LINC01391	138935189	138944020	3
	23326256	23334127	15
	62596732	62603355	20
	39799422	39809450	1
	39801414	39817460	1
	41382383	41383107	20
GTF2IP12	119405523	119454638	4
	30887626	30897387	2
USP8P1	31265372	31268544	CHR_HSCHR6_MHC_QBL_CTG1
	81514047	81527776	17
	31297920	31298654	CHR_HSCHR6_MHC_QBL_CTG1
CHL1-AS2	195758	197341	3
FYTTD1	197737179	197787596	3
RPL3P2	31270107	31271306	CHR_HSCHR6_MHC_QBL_CTG1
TRBV5-5	142504264	142504735	CHR_HSCHR7_2_CTG6
TRIM74	72959485	72969466	7
WASF5P	31277583	31279034	CHR_HSCHR6_MHC_QBL_CTG1
LILRP1	54700593	54700905	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
HLA-B	31259328	31347305	CHR_HSCHR6_MHC_QBL_CTG1
IGHD3-9	105905452	105905482	CHR_HSCHR14_3_CTG1
	83022571	83090782	15
BRD7P2	160100850	160102793	3
LINC01100	160016024	160031423	3
RAMAC	82986210	82991057	15
IGHD2-8	105907982	105908012	CHR_HSCHR14_3_CTG1
TRBV6-7	142509537	142510011	CHR_HSCHR7_2_CTG6
IL12A	159988835	159996019	3
	119409333	119410233	4
HECTD2	91409280	91514829	10
	18201501	18201956	16
CHMP4C	81732448	81759515	8
RPS8P6	308714	309322	3
CHL1-AS1	363370	385795	3
	18313294	18316984	16
	9404954	9405731	X
	72321051	72324027	3
	83044368	83044771	15
GNL1	30533598	30549394	CHR_HSCHR6_MHC_SSTO_CTG1
SCGB1C2	137526	139067	17
	82925884	83103443	15
WFDC9	45607939	45631268	20
	83012661	83061845	15
TMEM39B	32072031	32102866	1
	83020115	83020802	15
	75432703	75436957	18
MAN1A2P1	28790812	28792871	19
RPL31P9	67137611	67137751	18
KIR3DL2	54849551	54866326	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
LINC01898	75696079	75712385	18
	67375133	67375305	18
OR2AD1P	29026665	29027592	CHR_HSCHR6_MHC_QBL_CTG1
	75844925	75868252	18
	67481791	67484966	18
WFDC10A	45629739	45631196	20
	28837861	28838998	CHR_HSCHR6_MHC_APD_CTG1
	62633681	62635504	20
RPL13P	28861407	28862038	CHR_HSCHR6_MHC_APD_CTG1
	63917203	63931385	17
	62633772	62635862	20
LINC01623	28859616	28863341	CHR_HSCHR6_MHC_APD_CTG1
	9406025	9406778	X
CSHL1	63909597	63918838	17
DOLPP1	129081111	129090438	9
	20344736	20359166	15
	9406952	9407708	X
GSTA4	52977948	52995304	6
	67506589	67514030	18
	67788268	67791035	18
	15746630	15778297	22
	67707929	67708246	18
CEACAM21	41549518	41586844	19
DSEL	67506587	67516720	18
GSDMD	143553207	143563062	CHR_HSCHR8_3_CTG7
GRAMD4P2	15749156	15750825	22
PAIP1P1	30176301	30178125	CHR_HSCHR6_MHC_QBL_CTG1
ZNF90P2	28888823	28889897	CHR_HSCHR6_MHC_APD_CTG1
UPF1	18831938	18868236	19
TRIM26	30173958	30202936	CHR_HSCHR6_MHC_QBL_CTG1
	78505165	78506410	CHR_HSCHR18_ALT21_CTG2_1
YBX2	7288263	7294639	17
NPIPA8	18317942	18336736	16
	67602692	67603022	18
GJB6	20221962	20232365	13
LINC01903	67808505	67814822	18
TRAJ48	22490491	22490553	14
	67672221	67676078	18
PLEKHS1	113751262	113783429	10
DOC2B	142789	181650	17
	67830671	67831967	18
TRAJ47	22492851	22492907	14
	67516546	67899619	18
TRAJ46	22493403	22493465	14
TRAJ45	22493925	22493990	14
	37649133	37650894	17
	18334400	18352476	16
	37642947	37684252	17
TRAJ44	22494821	22494883	14
RTN2	45485294	45497055	19
IL12A-AS1	159909382	160225299	3
	75114261	75114868	15
HCG14	28896521	28897313	CHR_HSCHR6_MHC_APD_CTG1
CYB5D2	4143168	4187310	17
PPCDC	75023586	75117462	15
	18318008	18344283	16
	9407861	9408638	X
LINC01896	78976555	78979074	CHR_HSCHR18_ALT2_CTG2_1
	9408818	9409571	X
	9409748	9410501	X
	91464578	91464708	10
CABLES1	23134564	23260467	18
	9410789	9411545	X
MED18	28329002	28335965	1
VEZF1P1	193155456	193157208	3
RPL12P41	46219423	46219920	19
	193144464	193176864	3
BMS1P22	15805263	15820884	22
GH1	63917200	63918839	17
	46228964	46230388	19
DUXAP8	15826566	15827187	22
	41545192	41555462	19
IGFL1	46229742	46231243	19
	15823197	15823890	22
NOP56	2652593	2658393	20
	7282947	7284071	17
CFAP298	32592079	32612603	21
DUXAP8	15784959	15829984	22
LINC01938	165220577	165241752	5
CLPTM1L	1318299	1345099	CHR_HSCHR5_3_CTG1
	32241524	32243093	14
	41551568	41552274	19
	32271857	32272301	14
DMBX1	46506996	46514226	1
	15796959	15798346	22
LINC02091	183824	191587	17
KLB	39406930	39451533	4
OR2H1	29453753	29460899	CHR_HSCHR6_MHC_COX_CTG1
ITGA8	15513954	15719922	10
METTL2A	62423867	62450822	17
CLEC11A	50723364	50725718	19
SYNJ2BP-COX16	70326064	70417074	14
IGHEP2	5113549	5114804	9
	75927836	75928004	18
PDSS1P1	5084999	5086112	9
	76008118	76015861	18
MTND1P11	5094139	5095014	9
MTATP6P11	5099560	5100229	9
	76122998	76145255	18
SALL3	78980275	79002677	CHR_HSCHR18_ALT2_CTG2_1
MTND6P5	5091093	5091604	9
MTND4P14	5107937	5109290	9
FAM197Y6	9388122	9396027	Y
JAK2	4984390	5128183	9
	9395475	9397467	Y
PTPRF	43525187	43623666	1
IGHD1-7	105910678	105910694	CHR_HSCHR14_3_CTG1
	23337985	23341848	15
GHR	42423439	42721878	5
CEACAMP3	41599735	41605984	19
TRBV7-6	142513848	142514385	CHR_HSCHR7_2_CTG6
DNAJC19P2	41605341	41605671	19
WEE1	9573670	9593457	11
	32052291	32073474	1
LRRC74B	21045960	21064168	22
KHDRBS1	32013868	32060850	1
	46249394	46250163	19
FAM230J	18361823	18391105	22
KTN1	55559072	55701526	14
ANGPT4	869900	916334	20
	54768492	54801540	2
	54747103	54748404	2
	68870664	68874542	11
EML6	54723499	54972025	2
GPR32P1	50758382	50759192	19
INTS6-AS1	51452367	51552364	13
	1151807	1152140	9
SRMP2	60919240	60920155	14
	30956280	30956961	17
	60972272	60972466	14
	60779978	60780595	14
	10397644	10397778	21
	96687056	96721121	9
MNAT1	60734742	60969965	14
SYNJ2BP	70366499	70417090	14
	96725890	96727469	9
CD79B	63928740	63932354	17
	44978832	44979274	21
LINC00163	44989864	44994086	21
FGFR4	177086905	177098144	5
	3003431	3005101	16
C19orf67	14081619	14085875	19
	165349030	165778689	5
	3006120	3007388	16
IGFL1P2	46260420	46260858	19
	18374106	18375689	22
	165782805	165783134	5
	35136638	35139222	21
SIRT5	13574529	13615158	6
	165905126	165905608	5
COX16	70325081	70359700	14
IGHD6-6	105911181	105911198	CHR_HSCHR14_3_CTG1
RPS20P1	35724747	35725100	21
CLDN9	3012923	3014505	16
RPL34P3	35472095	35472432	21
FAM131C	16057769	16073651	1
IFNGR2	33410836	33488905	CHR_HSCHR21_4_CTG1_1
PPP1R2P2	35887195	35887807	21
	35713139	35732942	21
RCVRN	9896320	9905621	17
	34836286	34884882	21
RUNX1	34787801	36004667	21
MFGE8	88898683	88913381	15
ZNF175	51571283	51592510	19
SBSN	35523367	35528351	19
TUG1	30969245	30979395	22
PHF2	93576584	93679587	9
	42921443	42921670	9
	50798670	50798951	15
SNX18P5	42923277	42924144	9
	22679013	22684009	8
KCNT1	135702185	135795508	9
	50839875	50908599	15
PTP4A2P1	42533532	42534009	17
KRT8P2	43540883	43541826	14
CCL19	34689570	34691276	9
	2383698	2388652	7
	40538127	40546928	7
THUMPD3P1	40151613	40154151	7
LINC00929	26115813	26133037	15
	76173304	76177738	18
	40775558	40785217	7
LINC01893	76209510	76215702	18
SUGCT	40134977	40860763	7
	76227990	76233387	18
	76247725	76251388	18
CLDN6	3014712	3020071	16
TGFBI	136028988	136063818	5
	76254292	76255214	18
KIR3DP1	54786397	54790252	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
	76256891	76258337	18
KIR2DP1	54754924	54767305	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
	76259166	76260114	18
MFSD2B	24010081	24063321	2
LINC02248	26395072	26446774	15
KIR2DS4	54832694	54847510	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ELMOD1	107591091	107666779	11
DECR2	401858	412487	16
	42552436	42554748	17
TCP10L	32573721	32587373	21
KIR3DL1	54816442	54830745	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
CCL21	34709005	34710136	9
HSD17B1	42549214	42555213	17
	76372717	76378275	18
	28456371	28492098	16
	76491652	76493918	18
TNFRSF12A	3018445	3022383	16
SERPINF1	1762029	1777565	17
ZNF516	76357682	76495242	18
TRMT5	60971451	60981358	14
FOXL2	138944224	138947137	3
	30976515	30978848	22
	30977516	30977858	22
FOXL2NB	138947217	138953990	3
	73803296	73803599	5
C8orf49	11761256	11763223	8
FAM205A	34723055	34729467	9
CSNK1G2P1	5040945	5041940	9
RYBP	72371825	72446621	3
	10482738	10605716	21
ARHGEF28	73626158	73941993	5
MTCO1P11	5096666	5098193	9
	62648961	62650767	20
MTCO2P11	5098341	5099325	9
SLC38A6	60981114	61083733	14
FKBP1B	24049701	24063681	2
	13614111	13615155	6
DAZL	16586792	16670306	3
	62640719	62643304	20
TCF3P1	5110913	5112849	9
RPS27AP14	1164414	1164867	9
LHFPL4	9498361	9553822	3
MTCO3P11	5100236	5101009	9
	62651272	62652186	20
FAM205BP	34832295	34838586	9
SLCO4A1-AS1	62663019	62666724	20
	76385642	76389406	18
INSL6	5123880	5185647	9
RN7SK	52995621	52995948	6
CYCSP41	10576292	10576587	21
	42536510	42562062	17
TPTE	10521553	10606140	21
PAN3	28138506	28295335	13
COASY	42561467	42566277	17
	28869796	28879170	19
C6orf47	31648523	31650997	CHR_HSCHR6_MHC_QBL_CTG1
SLCO4A1	62642503	62685785	20
	32578822	32612281	21
MTND5P14	5109496	5110762	9
PAK1IP1	10694972	10709782	6
OR2W1	29044198	29045225	CHR_HSCHR6_MHC_QBL_CTG1
TMEM50B	33432485	33489568	CHR_HSCHR21_4_CTG1_1
C6orf47-AS1	31648554	31650946	CHR_HSCHR6_MHC_QBL_CTG1
LINC00846	32572238	32575881	21
HIST1H2APS6	36490078	36490441	13
	66314914	66331703	15
	2393847	2394131	7
	66278498	66293357	15
SERTM1	36674020	36697839	13
ABHD18	127965306	128039927	4
DIS3L	66293217	66333898	15
CHST12	2403588	2448484	7
TMEM38A	16661139	16690023	19
	44402685	44427144	15
TDP2	24649979	24666930	6
NPIPB7	28456372	28471175	16
EZH2P1	35599732	35600022	21
DUSP5P2	9600748	9602728	3
	44354691	44355692	15
	71675300	71702786	8
	51599289	51600470	19
	107642887	107643871	11
	54268619	54269662	CHR_HSCHR19LRC_PGF1_CTG3_1
	44387320	44390451	15
	51594561	51606150	19
	107600379	107600868	11
	71779605	71792875	8
FBXO9	53051991	53100873	6
CASC4	44288719	44415758	15
GRIFIN	2474844	2476894	7
APOBR	28494643	28498970	16
SLC25A39	44319625	44324870	17
WDCP	24029347	24049575	2
	41413837	41419100	CHR_HSCHR17_1_CTG4
	76595584	76595772	17
	41409741	41432374	CHR_HSCHR17_1_CTG4
NUP58	25301556	25349800	13
KRT37	41428078	41431848	CHR_HSCHR17_1_CTG4
RPL23AP58	102572757	102573225	10
SUFU	102503987	102633535	10
EEF1A1P3	28214513	28215897	13
	73730048	73731711	15
TUBA3GP	21065462	21070097	22
UBDP1	29461167	29466379	CHR_HSCHR6_MHC_COX_CTG1
	7568866	7572046	11
SIGLEC5	51611927	51645545	19
	1328664	1328987	9
HMGN2P32	107458038	107458306	9
INSYN1-AS1	73752317	73770613	15
	21071082	21081018	22
MAS1LP1	29471596	29472642	CHR_HSCHR6_MHC_COX_CTG1
	1977784	1978547	9
	43592142	43592262	14
INSYN1	73735431	73752747	15
SIGLEC14	51642553	51646801	19
MAS1L	29483337	29484473	CHR_HSCHR6_MHC_COX_CTG1
	59940908	59973101	17
	43595136	43596683	14
RPS6KB1	59893046	59950574	17
BCRP2	21103016	21122285	22
RAB2A	60516936	60623644	8
	44120210	44120761	14
YWHAZP1	44290997	44291718	14
KRT8P50	42800968	42802405	15
LINC02307	43995781	44384545	14
CLN3	28474111	28495575	16
EIF4BP1	44077534	44077884	14
TTBK2	42738730	42920809	15
	21114607	21124451	22
	51612091	51646889	19
MFSD8	127917732	127966034	4
ABHD14A-ACY1	51974706	51989183	3
RPS17P1	29485842	29486247	CHR_HSCHR6_MHC_COX_CTG1
	77526998	77536592	17
TRIM26	30262891	30291774	CHR_HSCHR6_MHC_MCF_CTG1
	115932774	115942995	11
	5851506	5870220	6
	115950196	115950801	11
	32656084	32673065	15
	44392531	44393716	14
LINC02277	44444747	44480618	14
C18orf32	49477250	49487252	18
SCG5	32641676	32697098	15
MIER2	301444	344815	19
HSD17B1P1	42546764	42548706	17
CABIN1	24011192	24178628	22
NAGLU	42536241	42544449	17
	77563368	77568695	17
	193578812	193593090	3
	77546940	77563243	17
ATP13A4	193398967	193593111	3
ANKHD1-EIF4EBP3	140401908	140549569	5
RPL9P33	51621136	51621701	19
SPDYE8P	73020338	73029766	7
	51639478	51639931	19
NCR3	31665195	31669285	CHR_HSCHR6_MHC_MCF_CTG1
	72969814	72971727	7
TRIM27	28902993	28923981	CHR_HSCHR6_MHC_APD_CTG1
STAG3L3	72969696	73005922	7
FSCB	44504342	44507279	14
	44507407	44538513	14
ISX-AS1	34997719	35002862	22
KRTAP5-3	1607565	1608463	11
LINC02302	44763157	44782829	14
TRAJ43	22495913	22495966	14
NME4	396725	410367	16
	77571418	77572516	17
SERBP1P6	42465400	42468868	5
KRTAP5-4	1620958	1622138	11
TRAJ42	22496887	22496952	14
	42466893	42468300	5
DOCK11P1	44860316	44866247	14
	77590532	77680687	17
	42729138	42729519	5
ST6GALNAC1	76624761	76643786	17
	30626423	30626797	3
	44887434	44887741	14
	44876874	44897077	14
TGFBR2	30606502	30694142	3
	44888556	44889041	14
KIR2DL1	54769748	54784069	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
LINC01987	77722872	77728559	17
KRTAP5-5	1629775	1630707	11
LINC01973	77879027	77884087	17
	305573	306467	19
	60050668	60060743	10
PPP2R5B	64917553	64934475	11
	1662584	1663343	11
	60139912	60140877	10
LTK	41503637	41513887	15
AKIRIN2	87674860	87702233	6
ARL4AP1	60684505	60685209	10
FAM99A	1665597	1667856	11
C14orf28	44897275	44907257	14
ANK3	60026298	60733490	10
ICK	53001279	53061802	6
ARHGEF7-AS2	111113812	111115678	13
FAM205C	34889066	34895764	9
	111148196	111153171	13
	111182111	111182692	13
	42739118	42743202	15
	44898908	44911863	14
	34347671	34347785	20
TLCD2	1702790	1710438	CHR_HSCHR17_1_CTG2
	60551957	60553036	8
RPL30	98024851	98046469	8
GLULP4	34917175	34918296	9
YWHAZP6	34922184	34922921	9
	25276945	25277476	8
ZNF30	34926903	34945170	19
	169794962	169796213	3
DOCK5	25184689	25418082	8
	169793495	169793966	3
PAIP1P1	30265236	30267045	CHR_HSCHR6_MHC_MCF_CTG1
CDYLP1	16692745	16694202	3
KLF4	107484852	107490482	9
	16687986	16697479	3
LRRC34	169793428	169812986	3
KIR2DL4	54803533	54814482	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
FDPSP4	42939310	42940358	15
CENPQ	49463370	49493107	6
PMS2P7	73005541	73021103	7
LST1	31653110	31655895	CHR_HSCHR6_MHC_APD_CTG1
TAPBP	33221298	33235989	CHR_HSCHR6_MHC_COX_CTG1
	115951105	115951491	11
LINC02151	116496899	116500630	11
	116609995	116610094	11
	116639422	116658252	11
GPHA2	64934471	64935893	11
EIF4EBP3	140547662	140549576	5
LTA	31611502	31613772	CHR_HSCHR6_MHC_MANN_CTG1
LINC02317	90452063	90455117	14
	67940949	67956426	18
	68102116	68114377	18
	10375103	10378114	18
LST1	31662426	31665209	CHR_HSCHR6_MHC_MCF_CTG1
KRT40	40977843	40987262	CHR_HSCHR17_4_CTG4
LINC01912	68258339	68264827	18
	16712317	16712434	19
	29494080	29507127	CHR_HSCHR6_MHC_COX_CTG1
	73870950	73873366	15
ANKHD1	140401814	140539856	5
ATP9B	79072883	79091276	CHR_HSCHR18_ALT2_CTG2_1
LINC01015	29526002	29530150	CHR_HSCHR6_MHC_COX_CTG1
	68277802	68278243	18
	68427030	68436918	18
AKR1B10P2	68455951	68456877	18
PADI3	17249098	17284233	1
	68527970	68528123	18
POM121L7P	21125660	21128063	22
E2F6P2	21141624	21142371	22
GLYATL3	49499923	49528078	6
	79088732	79090033	CHR_HSCHR18_ALT2_CTG2_1
GPR53P	29534286	29535369	CHR_HSCHR6_MHC_COX_CTG1
FAM138C	34394	37269	9
OR2I1P	29549819	29550766	CHR_HSCHR6_MHC_COX_CTG1
NBEAP3	15852990	15893942	22
	23962951	23963351	16
	24098239	24099971	16
	24208105	24208478	16
	15854195	15855243	22
RPL23AP65	9606142	9606609	11
	9631008	9631359	11
PRKCB	23835946	24220611	16
MATN2	97868840	98036724	8
C18orf65	76495521	76498088	18
RNF6P1	39373763	39377066	21
RPL7P18	94825961	94826694	5
	9660438	9660920	11
	18849258	18849707	8
RXFP1	158315311	158653372	4
SLF1	94618669	94739436	5
RPL35P6	18774547	18774918	8
	19001627	19001950	8
TBC1D21	73873564	73889214	15
KRTAP3-3	40993557	40994260	CHR_HSCHR17_4_CTG4
	93857083	93858333	9
	27657	30891	9
LINC00683	76528655	76638913	18
PSD3	18527303	19084730	8
KRTAP3-2	40999320	41000021	CHR_HSCHR17_4_CTG4
LINC00165	44994362	44995185	21
	60879714	60982585	14
SMTN	31064105	31104757	22
DUSP22	291630	351355	6
MIMT1	56840866	56848556	19
WASHC1	14475	73865	9
PPP1R18	30665910	30677416	CHR_HSCHR6_MHC_QBL_CTG1
TRAJ41	22497657	22497718	14
SHANK3	50674415	50733298	22
	149977471	149979105	6
BTF3P10	149977922	149978416	6
ATP13A4-AS1	193553213	193555088	3
LINC01927	76623006	76639011	18
TRAJ40	22499689	22499749	14
TRAJ39	22501601	22501663	14
	76615160	76617645	18
TRBV5-6	142521745	142522251	CHR_HSCHR7_2_CTG6
HRASLS	193241125	193277738	3
TRAJ38	22502231	22502292	14
IGHD5-5	105913028	105913047	CHR_HSCHR14_3_CTG1
DHX40P1	59976009	60002384	17
OTOG	17547373	17647150	11
IGHD4-4	105913993	105914008	CHR_HSCHR14_3_CTG1
RAET1K	149998019	150005157	6
TRBV6-8	142529032	142529526	CHR_HSCHR7_2_CTG6
DDX11L5	12134	13783	9
IGHD3-3	105915130	105915160	CHR_HSCHR14_3_CTG1
PGM5P3-AS1	72674	88826	9
TRAJ37	22503750	22503814	14
RNFT1	59952240	59964761	17
CHD6	41402083	41618384	20
TRAJ36	22505110	22505167	14
LFNG	2512529	2529177	7
TUBB2A	3153666	3157544	6
FUNDC2P4	39155525	39155945	22
TRAJ35	22506644	22506702	14
OR2H5P	29573709	29574636	CHR_HSCHR6_MHC_MCF_CTG1
